id,user_id,label,recipient_name,phone,address,city,province,zip_code,is_default,created_at
23f1d619-53a9-4b4e-a2e8-03312617e6b1,ec4e35fa-3a32-4de4-8093-4e7e94342b9b,Rumah,Udin Wahyudi,081218451462,"Perumahan Pinang No.46, RT 04/RW 07",Padang,Sumatera Barat,25111,true,2024-12-19 08:30:53
884f6198-350d-430f-b82d-44c260beb528,ec4e35fa-3a32-4de4-8093-4e7e94342b9b,Kantor,Udin Wahyudi,081218451462,"Blok Mangga No.129, RT 08/RW 09",Jakarta Pusat,DKI Jakarta,10110,false,2024-12-19 08:30:53
bada506a-cb80-4a24-a903-b0252d634b18,ec4e35fa-3a32-4de4-8093-4e7e94342b9b,Kosan,Udin Wahyudi,081218451462,"Gg. Manggis No.120, RT 09/RW 07",Balikpapan,Kalimantan Timur,76111,false,2024-12-19 08:30:53
5ba1607b-2dc9-4929-a195-3337fea5c8c5,afb6ec63-8d2f-4b84-9bc1-a6ac3a859b09,Rumah,Budi Wirawan,085728148932,"Jalan Bougenville No.9, RT 09/RW 03",Padang,Sumatera Barat,25111,true,2025-03-11 08:30:53
38b7dbd6-fdc8-49ed-be68-877bee363dc4,afb6ec63-8d2f-4b84-9bc1-a6ac3a859b09,Kantor,Budi Wirawan,085728148932,"Jalan Kamboja No.25, RT 01/RW 10",Balikpapan,Kalimantan Timur,76111,false,2025-03-11 08:30:53
7ea34f08-04c9-4b27-b578-5fdc14598242,afb6ec63-8d2f-4b84-9bc1-a6ac3a859b09,Kosan,Budi Wirawan,085728148932,"Jl. Pelajar No.22, RT 02/RW 04",Surabaya,Jawa Timur,60111,false,2025-03-11 08:30:53
061ac1ea-6bf7-4cc2-8a29-de4c9a21bc45,a7382f4e-7224-4052-87a7-2fb489f6f7a4,Rumah,Yoga Karim,081295701543,"Blok Diponegoro No.15, RT 06/RW 08",Yogyakarta,DI Yogyakarta,55111,true,2026-01-28 08:30:53
12ef90e6-a2dd-4795-ad29-614c3d849c5c,a7382f4e-7224-4052-87a7-2fb489f6f7a4,Kantor,Yoga Karim,081295701543,"Perumahan Mahoni No.61, RT 12/RW 09",Padang,Sumatera Barat,25111,false,2026-01-28 08:30:53
608145c3-721e-44b0-8b03-3f4accfb6a1a,a7382f4e-7224-4052-87a7-2fb489f6f7a4,Kosan,Yoga Karim,081295701543,"Gg. Diponegoro No.40, RT 08/RW 05",Samarinda,Kalimantan Timur,75111,false,2026-01-28 08:30:53
98513a01-8e2e-49cc-9c4c-1cb0fa04e799,50b633cc-0d60-4d61-b92e-7d2349a73cad,Rumah,Irfan Mansur,081371822782,"Blok Kamboja No.4, RT 09/RW 08",Pontianak,Kalimantan Barat,78111,true,2025-06-30 08:30:53
1520d5fc-99d2-44bb-9c1f-665cae60fb3c,50b633cc-0d60-4d61-b92e-7d2349a73cad,Kantor,Irfan Mansur,081371822782,"Jalan Gatot Subroto No.80, RT 08/RW 07",Jakarta Pusat,DKI Jakarta,10110,false,2025-06-30 08:30:53
ea838a6b-a037-4cb7-bffa-6022c3f25394,50b633cc-0d60-4d61-b92e-7d2349a73cad,Kosan,Irfan Mansur,081371822782,"Blok Nangka No.147, RT 01/RW 09",Balikpapan,Kalimantan Timur,76111,false,2025-06-30 08:30:53
725565dc-109c-4e8e-bed1-11673e2f9a39,46c3098f-6d32-45b2-bc68-367176eea572,Rumah,Udin Osman,082283465787,"Gg. Gatot Subroto No.111, RT 07/RW 01",Pekanbaru,Riau,28111,true,2025-11-25 08:30:53
02ee1f1f-aa01-4001-ae74-5354cc8c03eb,46c3098f-6d32-45b2-bc68-367176eea572,Kantor,Udin Osman,082283465787,"Perumahan Salak No.73, RT 07/RW 08",Padang,Sumatera Barat,25111,false,2025-11-25 08:30:53
77ff8365-5bd0-4894-9c4d-3f9bbf3b9f99,46c3098f-6d32-45b2-bc68-367176eea572,Kosan,Udin Osman,082283465787,"Perumahan Cendana No.103, RT 09/RW 01",Medan,Sumatera Utara,20111,false,2025-11-25 08:30:53
12668a62-41a8-4c4c-8d1f-3edec3af4fe5,031e0ddf-69ec-4bd5-a77e-39a290fab32f,Rumah,Jasmine Suharto,085209839301,"Blok Teratai No.26, RT 14/RW 08",Semarang,Jawa Tengah,50111,true,2024-04-03 08:30:53
63169834-b453-47e4-af1f-97f37df28a38,031e0ddf-69ec-4bd5-a77e-39a290fab32f,Kantor,Jasmine Suharto,085209839301,"Gg. Rambutan No.94, RT 04/RW 10",Manado,Sulawesi Utara,95111,false,2024-04-03 08:30:53
